id,fence_id,status,message_time,image
701,7,open,2025-03-28 19:49:48,/static/images/open.png
702,11,open,2025-03-28 19:51:05,/static/images/open.png
703,24,closed,2025-03-28 19:56:29,/static/images/closed.png
704,26,closed,2025-03-28 19:56:29,/static/images/closed.png
705,23,closed,2025-03-28 19:56:29,/static/images/closed.png
706,11,open,2025-03-28 19:10:18,/static/images/open.png
707,13,open,2025-03-28 19:12:40,/static/images/open.png
708,9,closed,2025-03-28 19:13:46,/static/images/closed.png
709,2,open,2025-03-28 19:21:32,/static/images/open.png
710,7,closed,2025-03-28 19:32:17,/static/images/closed.png
711,7,closed,2025-03-28 19:40:35,/static/images/closed.png
712,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
713,2,closed,2025-03-28 19:42:41,/static/images/closed.png
714,25,closed,2025-03-28 19:44:09,/static/images/closed.png
715,23,closed,2025-03-28 19:44:09,/static/images/closed.png
716,7,open,2025-03-28 19:49:48,/static/images/open.png
717,11,open,2025-03-28 19:51:05,/static/images/open.png
718,2,sever_traffic_jam,2025-03-28 19:59:34,/static/images/traffic.png
719,24,open,2025-03-28 20:00:49,/static/images/open.png
720,26,open,2025-03-28 20:00:49,/static/images/open.png
721,23,open,2025-03-28 20:00:49,/static/images/open.png
722,2,closed,2025-03-28 20:01:54,/static/images/closed.png
723,7,open,2025-03-28 20:02:57,/static/images/open.png
724,11,open,2025-03-28 20:03:11,/static/images/open.png
725,9,closed,2025-03-28 19:13:46,/static/images/closed.png
726,2,open,2025-03-28 19:21:32,/static/images/open.png
727,7,closed,2025-03-28 19:32:17,/static/images/closed.png
728,7,closed,2025-03-28 19:40:35,/static/images/closed.png
729,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
730,2,closed,2025-03-28 19:42:41,/static/images/closed.png
731,25,closed,2025-03-28 19:44:09,/static/images/closed.png
732,23,closed,2025-03-28 19:44:09,/static/images/closed.png
733,7,open,2025-03-28 19:49:48,/static/images/open.png
734,11,open,2025-03-28 19:51:05,/static/images/open.png
735,2,sever_traffic_jam,2025-03-28 19:59:34,/static/images/traffic.png
736,24,open,2025-03-28 20:00:49,/static/images/open.png
737,26,open,2025-03-28 20:00:49,/static/images/open.png
738,23,open,2025-03-28 20:00:49,/static/images/open.png
739,2,closed,2025-03-28 20:01:54,/static/images/closed.png
740,7,open,2025-03-28 20:02:57,/static/images/open.png
741,11,open,2025-03-28 20:03:11,/static/images/open.png
742,14,open,2025-03-28 20:09:21,/static/images/open.png
743,22,closed,2025-03-28 20:10:14,/static/images/closed.png
744,2,open,2025-03-28 19:21:32,/static/images/open.png
745,7,closed,2025-03-28 19:32:17,/static/images/closed.png
746,7,closed,2025-03-28 19:40:35,/static/images/closed.png
747,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
748,2,closed,2025-03-28 19:42:41,/static/images/closed.png
749,25,closed,2025-03-28 19:44:09,/static/images/closed.png
750,23,closed,2025-03-28 19:44:09,/static/images/closed.png
751,7,open,2025-03-28 19:49:48,/static/images/open.png
752,11,open,2025-03-28 19:51:05,/static/images/open.png
753,2,sever_traffic_jam,2025-03-28 19:59:34,/static/images/traffic.png
754,24,open,2025-03-28 20:00:49,/static/images/open.png
755,26,open,2025-03-28 20:00:49,/static/images/open.png
756,23,open,2025-03-28 20:00:49,/static/images/open.png
